participant1,relation,participant2
PreservationEfforts,include,EducationalOutreach
RevitalizationPrograms,enable,TraditionRenewal
CommunityMobilization,supports,PreservationEfforts
CommunityMobilization,supports,RevitalizationPrograms
DocumentationActivities,contribute to,CulturalSurvival
EducationalOutreach,facilitates,CulturalRevival
TraditionRenewal,ensures,CulturalSurvival
Perceiver,receives,SensoryStimuli
Perceiver,engages in,PerceptualProcessing
PerceptualProcessing,organizes,PerceptualObjects
PerceptualProcessing,organizes,SensoryPatterns
AttentionalFocus,directs,PerceptualProcessing
PerceptualFiltering,eliminates,SensoryStimuli
PerceptualProcessing,creates,OrganizedExperience
SensoryPatterns,emerge from,PerceptualObjects
SensoryMonitor,experiences,PerceptualThresholds
SensoryModalities,have,SensitivityLevels
SensoryModalities,have,DetectionLimits
SensoryMonitor,assesses,DiscriminationAbilities
SensoryAdaptation,causes,PerceptualChanges
SensoryAwareness,includes,PerceptualThresholds understanding
PerceptualAccuracy,depends on,SensitivityLevels
PerceptualAccuracy,depends on,DiscriminationAbilities
PerceptualChanges,affect,SensoryAwareness
PerceptualExplorer,encounters,PerceptualIllusions
PerceptualExplorer,encounters,SensoryMisinterpretations
PerceptualIllusions,create,discrepancies between SensoryEvidence and ActualReality
SensoryMisinterpretations,result from,PerceptualDistortions
SensoryMisinterpretations,result from,InterpretationErrors
PerceptualDistortions,reveal,PerceptualMechanisms
CognitiveInfluences,contribute to,InterpretationErrors
PerceptualMechanisms,can systematically alter,SensoryEvidence
InterpretationErrors,demonstrate,interaction between perception and cognition
MotivatedAgent,experiences,BasicNeeds
BasicNeeds,generate,BiologicalDrives
BiologicalDrives,create,MotivationalStates
MotivatedAgent,recognizes,DriveSignals
DriveSignals,motivate,GoalDirectedBehavior
NeedSatisfaction,leads to,DriveReduction
DriveReduction,restores,HomeostasisBalance
HomeostasisBalance,reduces,MotivationalStates
Achiever,pursues,PsychologicalGoals
AchievementMotivation,emerges from,CompetencyNeeds
Achiever,engages in,SkillDevelopment
Achiever,engages in,PerformanceImprovement
AccomplishmentPursuit,involves,SkillDevelopment
AccomplishmentPursuit,involves,seeking Recognition
MasteryOrientation,guides,SkillDevelopment approach
PerformanceImprovement,serves,CompetencyNeeds
PerformanceImprovement,serves,Recognition seeking
SelfActualization,emerges from,AccomplishmentPursuit
SocialSeeker,motivated by,BelongingNeeds
SocialSeeker,motivated by,RelationshipDrives
BelongingNeeds,generate,motivation for SocialConnections
RelationshipDrives,energize,SocialApproachBehavior
SocialApproachBehavior,initiates,RelationshipBuilding
RelationshipBuilding,creates,InterpersonalBonds
RelationshipBuilding,creates,SocialConnections
SocialConnections,provide,SocialAcceptance
InterpersonalBonds,can develop into,EmotionalIntimacy
SocialAcceptance,satisfies,BelongingNeeds
EmotionalIntimacy,satisfies,BelongingNeeds
EmbodiedExperiencer,maintains,BodyAwareness
ProprioceptiveMonitoring,provides,PosturalInformation
ProprioceptiveMonitoring,provides,MovementSensations
BodySchemas,organize,PosturalInformation
InteroceptiveSensing,contributes to,SomaticAwareness
SpatialEmbodiment,creates,EmbodiedPresence
SomaticAwareness,creates,EmbodiedPresence
MovementSensations,update,BodySchemas
EmbodiedPresence,integrates,BodyAwareness aspects
EnvironmentalPerceiver,experiences,EnvironmentalPresence
AmbientAwareness,detects,AtmosphericQualities
AmbientAwareness,detects,EnvironmentalMoods
SpatialSensing,contributes to,SpatialAtmospheres perception
AtmosphericQualities,influence,EnvironmentalPresence
SpatialAtmospheres,influence,EnvironmentalPresence
EnvironmentalMoods,affect,subjective experience
PlaceSense,emerges from,EnvironmentalConnection
EnvironmentalConnection,strengthens through,EnvironmentalPresence
EmbodiedFeeler,experiences,EmbodiedEmotions
SomaticResponses,generate,BodyFeedback
EmotionalEmbodiment,integrates,PhysicalFeelingStates
GutFeelings,provide,SomaticInformation
BodyEmotions,manifest as,PhysicalFeelingStates
BodyFeedback,contributes to,EmotionalAwareness
SomaticInformation,enhances,EmotionalAwareness
AttentionalController,manages,SelectiveAttention
SelectiveAttention,directs attention toward,RelevantStimuli
FocusControl,filters out,DistractingElements
AttentionalController,uses,AttentionalStrategies
ConcentrationStates,help achieve,OptimalFocus
AttentionalCompetition,challenges,OptimalFocus maintenance
AttentionalStrategies,help resolve,AttentionalCompetition
ConsciousObserver,experiences,AwarenessStates
ConsciousObserver,engages in,ConsciousMonitoring
ConsciousMonitoring,includes,CognitiveProcesses observation
MetaAwareness,enables,ConsciousnessLevels monitoring
SelfReflection,deepens,MentalStates understanding
AwarenessStates,vary across,ConsciousnessLevels
AttentionalModes,influence,ConsciousMonitoring quality
Multitasker,attempts,DividedAttention
DividedAttention,requires,AttentionalResources allocation
TaskSwitching,enables,ConcurrentTasks management
AttentionalLimitations,constrain,DividedAttention effectiveness
DividedAttention,often results in,PerformanceTradeoffs
MultitaskingStrategies,help optimize,CognitiveEfficiency
TaskSwitching,consumes,AttentionalResources
Learner,encounters,NewInformation
Learner,engages in,EncodingProcesses
EncodingProcesses,create,MemoryTraces
AttentionalEncoding,enhances,memory formation
ElaborativeProcessing,deepens,EncodingProcesses
Learner,uses,EncodingStrategies
Learner,uses,MemoryTechniques
AttentionalEncoding,enhances,InformationRetention
ElaborativeProcessing,enhances,InformationRetention
EncodingProcesses,create,DurableMemories
MemoryTechniques,optimize,MemoryTraces formation
Rememberer,attempts,MemoryRetrieval
MemoryRetrieval,involves,RecallProcesses
MemoryRetrieval,involves,RecognitionTasks
Rememberer,uses,RetrievalCues
MemorySearching,explores,MemoryContents
RetrievalCues,facilitate,StoredInformation access
RetrievalFailures,occur when,MemorySearching unsuccessful
MemoryStrategies,help overcome,RetrievalFailures
SkillDeveloper,engages in,SkillAcquisition
PracticeActivities,provide,LearningExperience
SkillAcquisition,enables,KnowledgeTransfer
SkillAcquisition,enables,SkillGeneralization
SkillDeveloper,progresses through,LearningStages
LearningExperience,contributes to,ExpertiseBuilding
LearningChallenges,must be overcome for,SkillAcquisition
ExpertiseBuilding,enhances,KnowledgeTransfer capabilities
DecisionMaker,faces,DecisionChoices
ChoiceEvaluation,applies,DecisionCriteria
DecisionMaker,analyzes,CostsAndBenefits
RiskFactors,influence,AlternativeOptions evaluation
DecisionMaker,uses,DecisionStrategies
ChoiceEvaluation,aims to identify,OptimalChoices
DecisionStrategies,help balance,CostsAndBenefits and RiskFactors
Planner,engages in,FuturePlanning
GoalSetting,establishes,LongTermGoals
FuturePlanning,develops,ActionPlans
StrategicThinking,creates,ProjectionScenarios
PlanningStrategies,guide,ActionPlans development
PlanningHorizons,determine,FuturePlanning scope
ActionPlans,bridge,current actions to GoalRealization
StrategicThinker,approaches,ComplexProblems
StrategicAnalysis,involves,ProblemDecomposition
StrategicThinker,develops,SolutionStrategies
SolutionStrategies,guide,ImplementationPlans creation
SystemicThinking,considers,ProblemConstraints
ContingencyPlanning,prepares for,multiple scenarios
ImplementationPlans,aim to achieve,StrategicOutcomes
KnowledgeSeeker,acquires,NewKnowledge
InformationGathering,involves,EvidenceEvaluation
NewKnowledge,contributes to,BeliefSystems formation
NewKnowledge,contributes to,KnowledgeStructures formation
KnowledgeSeeker,integrates,FactualInformation
EvidenceEvaluation,guides,BeliefUpdating
BeliefUpdating,modifies,ExistingBeliefs
KnowledgeIntegration,organizes,KnowledgeStructures information
EpistemicAgent,examines,UnderlyingAssumptions
EpistemicAgent,examines,TakenForGrantedBeliefs
AssumptionAnalysis,reveals,UnderlyingAssumptions
EpistemicReflection,develops,EpistemicAwareness
MetaCognition,includes,KnowledgeLimitations awareness
EpistemicAwareness,guides,BeliefValidation
BeliefValidation,tests,TakenForGrantedBeliefs
MetaCognition,enhances,AssumptionAnalysis capabilities
BeliefReviser,encounters,ConflictingEvidence
BeliefReviser,encounters,DisconfirmingInformation
ConflictingEvidence,creates,BeliefConflict
BeliefConflict,generates,CognitiveDissonance
BeliefReviser,engages in,BeliefRevision
BeliefRevision,involves,KnowledgeUpdating
KnowledgeUpdating,aims to restore,EpistemicCoherence
EpistemicCoherence,reduces,CognitiveDissonance
GoalSetter,develops,PersonalGoals
GoalFormation,involves,IntentionSetting
IntentionSetting,creates,ActionIntentions
IntentionSetting,creates,GoalCommitments
GoalSetter,engages in,GoalPrioritization
IntentionClarification,makes,ActionIntentions specific
GoalFormation,establishes,PurposefulDirection
GoalCommitments,enhance,MotivationalFocus
ActionPlanner,translates,EstablishedGoals
ImplementationPlanning,creates,ActionPlans
ActionSequencing,organizes,planned actions temporally
ActionPlanner,develops,ActionStrategies
ActionPlanner,develops,ExecutionMethods
ActionBarriers,impede,execution
ImplementationChallenges,impede,execution
ActionStrategies,help overcome,ActionBarriers
ActionPlans,lead to,GoalAchievement
VolitionalAgent,exercises,WillpowerControl
VolitionalAgent,exercises,SelfRegulation
GoalPersistence,requires,managing Temptations
GoalPersistence,requires,managing DistractingAlternatives
VolitionalAgent,uses,VolitionalStrategies
SelfControl,helps resist,Temptations
MotivationalConflicts,arise between,goals and alternatives
VolitionalStrategies,help resolve,MotivationalConflicts
WillpowerControl,enables,IntentionalAction
Evaluator,engages in,QualityAssessment
EvaluativeThinking,applies,EvaluationCriteria
QualityAssessment,produces,QualityJudgments
ComparativeEvaluations,compare,TargetObjects
ComparativeEvaluations,compare,TargetSituations
AssessmentStandards,provide,EvaluationCriteria benchmarks
EvaluationMethods,guide,QualityAssessment
QualityJudgments,determine,ObjectValue
QualityJudgments,determine,SituationalQuality
CriticalThinker,conducts,CriticalAnalysis
CriticalAnalysis,employs,AnalyticalJudgment
CriticalAnalysis,employs,LogicalEvaluation
AnalyticalJudgment,identifies,LogicalFlaws
AnalyticalJudgment,identifies,EvidenceGaps
LogicalEvaluation,detects,ReasoningErrors
CriticalThinker,applies,CriticalStandards
CriticalStandards,guide,LogicalFlaws identification
CriticalStandards,guide,ReasoningErrors identification
CriticalAnalysis,leads to,WellReasonedConclusions
PreferenceFormer,develops,PersonalPreferences
ValueClarification,helps form,ValueJudgments
PreferenceAssessment,evaluates,DesirabilityFactors
ValueClarification,considers,PersonalValues
ValueClarification,considers,ImportanceRankings
ContextualFactors,influence,PreferenceAssessment
ContextualFactors,influence,ValueClarification
PersonalPreferences,organize into,PreferenceHierarchies
ValueJudgments,establish,ValuePriorities
InformationOrganizer,creates,OrganizationalSystems
OrganizationalSystems,employ,CategoryStructures
OrganizationalSystems,employ,ClassificationSchemes
CategoryStructures,follow,TaxonomicPrinciples
TaxonomicPrinciples,guide,HierarchicalOrganization
ClassificationSchemes,create,LogicalGroupings
HierarchicalOrganization,facilitates,InformationRetrieval
LogicalGroupings,enhance,InformationRetrieval
NetworkBuilder,constructs,RelationalNetworks
NetworkBuilder,constructs,ConnectionSystems
RelationalNetworks,composed of,InformationNodes
NetworkBuilder,establishes,InterconnectedRelationships
LinkagePatterns,create,AssociativeStructures
AssociativeStructures,form,NetworkTopologies
NetworkTopologies,enable,PathwayNavigation
PathwayNavigation,utilizes,InterconnectedRelationships
ProcessOrganizer,develops,SequentialStructures
ProcessOrganizer,develops,ProceduralFrameworks
SequentialStructures,organize,InformationSequences
ProceduralFrameworks,employ,StepByStepOrganization
InformationSequences,follow,TemporalOrdering
InformationSequences,follow,LogicalProgression
StepByStepOrganization,enables,ProcessualNavigation
TemporalOrdering,guides,SequentialAccess
LogicalProgression,guides,SequentialAccess
ProcessualNavigation,utilizes,ProceduralFrameworks
DigitalCreator,produces,DigitalContent
DigitalContent,incorporates,MultimediaElements
MultimediaElements,include,TextElements
MultimediaElements,include,VisualComponents
MultimediaElements,include,AudioElements
MultimediaElements,include,InteractiveFeatures
DigitalCreator,employs,MediaIntegration
MediaIntegration,creates,IntegratedMedia
IntegratedMedia,becomes,DigitalProducts
ContentCreationTools,enable,MediaIntegration
DataProcessor,manages,DigitalInformation
InformationManagement,involves,DataInput
InformationManagement,involves,DataTransformation
InformationManagement,involves,DataOutput
DataProcessingSystems,handle,DigitalInformation processing
DataProcessor,ensures,DataIntegrity
DigitalWorkflows,optimize,SystemEfficiency
DataTransformation,modifies,DigitalInformation
SystemEfficiency,depends on,DigitalWorkflows
DigitalCommunicator,uses,DigitalPlatforms
DigitalCommunicator,uses,InteractiveSystems
DigitalPlatforms,enable,OnlineCommunication
DigitalPlatforms,enable,DigitalInteraction
CommunicationTools,facilitate,OnlineCommunication
InterfaceDesign,shapes,UserExperiences
InteractiveSystems,support,DigitalCollaboration
InteractiveSystems,support,VirtualEngagement
UserExperiences,influence,DigitalInteraction effectiveness
DigitalCollaboration,utilizes,CommunicationTools
DigitalCollaboration,utilizes,DigitalPlatforms
MathematicalThinker,works with,MathematicalSystems
MathematicalThinker,works with,LogicalStructures
MathematicalSystems,use,FormalNotations
MathematicalSystems,use,SymbolicRepresentations
SymbolicRepresentations,express,AbstractConcepts
SymbolicRepresentations,express,QuantitativeRelationships
MathematicalThinker,applies,MathematicalOperations
MathematicalOperations,transform,SymbolicRepresentations
LogicalRules,guide,FormalConclusions derivation
FormalConclusions,solve,AbstractProblems
ModelBuilder,constructs,TheoreticalModels
ModelBuilder,constructs,SystematicFrameworks
AbstractModeling,creates,ComplexPhenomena representations
TheoreticalModels,composed of,ModelComponents
TheoreticalModels,composed of,ConceptualStructures
SystematicFrameworks,include,FrameworkElements
ModelComponents,connected through,EssentialRelationships
TheoreticalModels,enable,TheoreticalPredictions
EssentialRelationships,determine,predictive capabilities
AlgorithmDesigner,develops,AlgorithmicProcesses
AlgorithmDesigner,develops,ComputationalModels
AlgorithmicProcesses,employ,SystematicProcedures
AlgorithmicProcesses,employ,LogicalSequences
StepWiseAlgorithms,implement,ComputationalLogic
AlgorithmicProcesses,designed to solve,DefinedProblems
SystematicProcedures,enable,AutomatableProcesses
LogicalSequences,guide,SystematicExecution
ComputationalModels,support,AutomatableProcesses
KnowledgeArchitect,creates,ConceptualFrameworks
KnowledgeArchitect,creates,KnowledgeStructures
ConceptualModeling,organizes,DomainKnowledge
SemanticOrganization,creates,ConceptualHierarchies
ConceptualFrameworks,include,KnowledgeMaps
KnowledgeStructures,connected through,ConceptualRelationships
ConceptualHierarchies,enable,KnowledgeNavigation
KnowledgeMaps,visualize,ConceptualRelationships
SemanticModeler,builds,SemanticNetworks
SemanticModeler,builds,MeaningStructures
SemanticNetworks,connect,ConceptualNodes
MeaningRelationships,define,SemanticConnections types
SemanticModeler,creates,SemanticMaps
ConceptualNodes,carry,ConceptualMeaning
SemanticConnections,enable,SemanticReasoning
MeaningStructures,support,SemanticReasoning
KnowledgeEngineer,develops,KnowledgeEncodingSystems
KnowledgeEngineer,develops,RepresentationFormats
KnowledgeEncodingSystems,capture,ExplicitKnowledge
KnowledgeEncodingSystems,capture,TacitUnderstanding
RepresentationFormats,create,KnowledgeBases
KnowledgeEncodingSystems,preserve,InformationalContent
KnowledgeBases,enable,KnowledgeRetrieval
KnowledgeBases,enable,KnowledgeApplication
RepresentationSchemas,organize,InformationalContent
KnowledgeRetrieval,accesses,ExplicitKnowledge
TimeOrganizer,creates,TemporalFrameworks
ChronologicalSystems,organize,TimeUnits
CalendarSystems,provide,TemporalFrameworks structure
SchedulingMethods,coordinate,TemporalEvents
TemporalOrganization,enables,TimeManagement
TemporalEvents,occur within,TemporalSequences
TimeManagement,utilizes,CalendarSystems
TimeManagement,utilizes,SchedulingMethods
RhythmRecognizer,identifies,CyclicalPatterns
RhythmRecognizer,identifies,TemporalRhythms
CyclicalPatterns,manifest in,RecurringEvents
CyclicalPatterns,manifest in,PeriodicPhenomena
TemporalCycles,organize,RecurringEvents
SeasonalPatterns,create,TemporalCycles
RhythmicSequences,demonstrate,TemporalRegularities
TemporalRegularities,enable,CyclicalOccurrences prediction
PeriodicPhenomena,follow,TemporalRhythms
TemporalExperiencer,perceives,TemporalDuration
TimePassage,creates,TemporalAwareness
TemporalPerception,involves,TemporalDuration processing
TemporalPerception,involves,TimePassage processing
TimeDistortion,causes,DurationVariations
TemporalContext,influences,SubjectiveTime
ActivityEngagement,affects,TemporalPerception
TemporalAwareness,enables,TimeDistortion recognition
MovementTracker,observes,MovementPatterns
MovementTracker,observes,DirectionalMovement
MovingEntities,follow,TrajectoryPaths
MovementTracker,uses,NavigationalCues
MovementTracker,uses,SpatialReference
NavigationalCues,inform,PathPlanning
MotionAnalysis,predicts,MovementOutcomes
PathPlanning,optimizes,DirectionalMovement
SpatialReference,provides,MotionDirections framework
MotionAnalyst,studies,VelocityChanges
MotionAnalyst,studies,AccelerationPatterns
DynamicMotion,exhibits,SpeedVariations
AcceleratingObjects,demonstrate,AccelerationPatterns
DeceleratingMovement,shows,AccelerationPatterns
ForceEffects,cause,VelocityChanges
MotionCausation,links,ForceEffects to MotionDynamics
MotionDynamics,explain,SpeedVariations
TrajectoryPredictor,analyzes,CurrentMotion
TrajectoryPredictor,analyzes,MovementTrends
MotionExtrapolation,projects,CurrentMotion
TrajectoryModeling,creates,PredictedPaths
PredictedPaths,lead to,MotionOutcomes
TrajectoryPredictor,identifies,CollisionPotentials
MotionExtrapolation,enables,CollisionPotentials prediction
TrajectoryModeling,optimizes,FuturePositions accuracy
ChangeObserver,monitors,DevelopmentalProcesses
ChangeObserver,monitors,GradualChanges
DevelopmentalProcesses,occur through,ProgressionStages
DevelopmentalProcesses,occur through,TransformationPhases
EvolvingSystems,exhibit,ChangePatterns
GradualChanges,follow,DevelopmentalTrends
ProcessContinuity,connects,ProgressionStages
EvolutionarySequences,span,TransformationPhases
ChangePatterns,enable,DevelopmentalTrends prediction
CycleTracker,identifies,CyclicalChanges
CycleTracker,identifies,RecurringTransformations
CyclicalSystems,exhibit,ChangeRhythms
CyclicalSystems,exhibit,TransformationCycles
RecurringTransformations,create,PeriodicVariations
ChangeRhythms,demonstrate,TemporalRecurrence
CyclicalTrends,emerge from,TransformationCycles
TemporalRecurrence,enables,CyclicalPredictability
CyclicalPredictability,allows,PeriodicVariations anticipation
TransitionWitness,observes,SuddenChanges
TransitionWitness,observes,TransformationalEvents
TransformationalEvents,trigger,AbruptTransitions
TransformationalEvents,trigger,RapidTransformations
ChangingSystems,reach,ChangeThresholds
CriticalPoints,mark,TransformationalEvents likelihood
TransitionCausation,explains,SuddenChanges occurrence
RapidTransformations,produce,TransformationOutcomes
ChangeThresholds,determine,AbruptTransitions timing
MoralEvaluator,engages in,EthicalAssessment
EthicalAssessment,applies,MoralCriteria
EthicalAssessment,applies,EthicalStandards
MoralEvaluator,uses,MoralReasoning
MoralReasoning,considers,MoralFactors
MoralReasoning,considers,EthicalContext
MoralFactors,include,MoralConsequences analysis
EthicalAssessment,produces,MoralJudgments
MoralReasoning,leads to,EthicalConclusions
ResponsibilityAssessor,evaluates,MoralResponsibility
ResponsibilityAssessor,evaluates,BlameAttribution
Assessment,examines,AgentIntentions
Assessment,examines,CausalContribution
Assessment,examines,ControlFactors
MitigatingCircumstances,reduce,MoralResponsibility
AggravatingFactors,increase,MoralResponsibility
ResponsibilityAssessor,determines,MoralAccountability
MoralAccountability,results in,MoralCredit assignment
MoralAccountability,results in,MoralBlame assignment
AgentIntentions,influence,BlameAttribution degree
MoralArbitrator,addresses,MoralConflicts
MoralArbitrator,addresses,EthicalDilemmas
MoralConflicts,involve,CompetingValues
MoralConflicts,involve,ConflictingDuties
EthicalDilemmas,create,ValueTensions
MoralArbitrator,uses,MoralBalancing
MoralArbitrator,uses,EthicalPrioritization
MoralBalancing,weighs,CompetingValues
EthicalPrioritization,determines,ConflictingDuties precedence
Resolution,involves,EthicalTradeoffs acceptance
MoralSolutions,achieve,MoralResolution
RightsAdvocate,identifies,FundamentalRights
RightsAdvocate,identifies,MoralEntitlements
RightsHolders,make,RightsClaims
RightsAdvocate,works to ensure,RightsProtection
RightsAdvocate,works to ensure,RightsRespect
RightsProtection,prevents,RightsViolations
RightsRespect,involves,RightsClaims recognition
RightsAdvocate,addresses,RightsViolations
RightsFulfillment,realizes,FundamentalRights
DutyBearer,recognizes,MoralObligations
DutyBearer,recognizes,EthicalDuties
MoralObligations,arise from,DutyBases
MoralObligations,arise from,ObligationSources
DutyBearer,engages in,DutyFulfillment
DutyBearer,engages in,ObligationCompliance
DutyFulfillment,involves,ObligationRecipients responsibilities
DutyBearer,must manage,DutyConflicts
ObligationLimits,define,EthicalDuties boundaries
ObligationCompliance,demonstrates,MoralObligations respect
JusticeSeeker,pursues,FairTreatment
JusticeSeeker,pursues,JustOutcomes
JusticeProcesses,apply,FairnessStandards
JusticeProcesses,apply,JusticePrinciples
JusticeSeeker,addresses,Injustices
JusticeSeeker,addresses,UnfairTreatment
ProceduralJustice,ensures,JusticeProcesses fairness
DistributiveJustice,promotes,JustOutcomes equity
FairnessStandards,define,FairTreatment
JusticeRealization,represents,justice goals achievement
MoralAgent,experiences,MoralEmotions
MoralAgent,experiences,ConscienceResponses
ConscienceResponses,generate,MoralGuilt
ConscienceResponses,generate,MoralPride
ConscienceResponses,generate,MoralShame
MoralEmotions,arise from,SelfEvaluation
MoralAgent,engages in,MoralReflection
ConscienceListening,provides,MoralBehavior guidance
MoralReflection,aims to achieve,MoralAlignment
MoralAlignment,reduces,MoralEmotions
MoralObserver,experiences,EmpathicResponses
MoralObserver,experiences,MoralIndignation
MoralObserver,feels,MoralAdmiration
MoralDisgust,arises in response to,moral violations
MoralObserver,provides,MoralSupport
MoralCorrection,addresses,moral wrongdoing
VicariousEmotions,enable,MoralSympathy
MoralSympathy,motivates,MoralSupport
MoralRepairer,engages in,MoralRepair
MoralRepair,involves,ForgivenessProcesses
MoralRepair,seeks,MoralReconciliation
Atonement,demonstrates,Remorse
MoralRepairer,makes,MoralAmends
ForgivenessProcesses,enable,RelationshipRestoration
MoralAmends,contribute to,MoralHealing
MoralReconciliation,achieves,RelationshipRestoration
MoralReconciliation,achieves,MoralHealing